function,module,line,snippet
data_maintenance_delete_archive_rows,Print / Documents,5312,function data_maintenance_delete_archive_rows(
data_maintenance_clear_demo_data,Masters / Common,5335,function data_maintenance_clear_demo_data(
run_auto_backup_if_due,Administration,5410,function run_auto_backup_if_due(
company_cache_clear,Administration,5425,function company_cache_clear(
company,Administration,5436,function company(
need_login,Masters / Common,5443,function need_login(
is_local_browser_request,Masters / Common,5444,function is_local_browser_request(
launcher_stop_services_async,Masters / Common,5448,function launcher_stop_services_async(
financial_year_label_for_date,Masters / Common,5467,function financial_year_label_for_date(
financial_year_for_date,Masters / Common,5474,function financial_year_for_date(
financial_period_type_options,Masters / Common,5486,function financial_period_type_options(
financial_period_for_date,Masters / Common,5494,function financial_period_for_date(
require_unlocked_accounting_period,Masters / Common,5501,function require_unlocked_accounting_period(
require_unlocked_financial_date,Masters / Common,5511,function require_unlocked_financial_date(
generate_financial_periods,Masters / Common,5519,function generate_financial_periods(
year_end_close_voucher,Accounts,5546,function year_end_close_voucher(
post_year_end_close,Sales,5551,function post_year_end_close(
closing_type_labels,Masters / Common,5598,function closing_type_labels(
normalize_closing_type,Masters / Common,5607,function normalize_closing_type(
closing_type_options,Masters / Common,5617,function closing_type_options(
itr_form_options,Masters / Common,5626,function itr_form_options(
normalize_itr_form,Masters / Common,5639,function normalize_itr_form(
itr_form_select_options,Masters / Common,5645,function itr_form_select_options(
itr_form_label,Masters / Common,5654,function itr_form_label(
assessment_year_label_for_period,Masters / Common,5659,function assessment_year_label_for_period(
ca_export_schema_version,Masters / Common,5666,function ca_export_schema_version(
ca_export_period_label,Masters / Common,5670,function ca_export_period_label(
ca_itr_recommended_reports,Masters / Common,5679,function ca_itr_recommended_reports(
ca_itr_selected_sheets,Masters / Common,5695,function ca_itr_selected_sheets(
closing_financial_year_options,Masters / Common,5698,function closing_financial_year_options(
closing_default_dates,Masters / Common,5713,function closing_default_dates(
closing_period_label,Masters / Common,5740,function closing_period_label(
closing_user_is_authorized,Administration,5748,function closing_user_is_authorized(
closing_cash_bank_balances,Accounts,5753,function closing_cash_bank_balances(
closing_summary_data,Masters / Common,5765,function closing_summary_data(
closing_trial_balance_difference,Masters / Common,5802,function closing_trial_balance_difference(
closing_summary_rows,Masters / Common,5809,function closing_summary_rows(
closing_sales_register_rows,Sales,5830,function closing_sales_register_rows(
closing_purchase_register_rows,Purchase,5838,function closing_purchase_register_rows(
closing_hsn_summary_rows,Masters / Common,5846,function closing_hsn_summary_rows(
closing_stock_summary_rows,Inventory,5853,function closing_stock_summary_rows(
closing_trial_balance_rows_for_export,Masters / Common,5861,function closing_trial_balance_rows_for_export(
closing_balance_sheet_rows_for_export,Masters / Common,5867,function closing_balance_sheet_rows_for_export(
closing_profit_loss_rows_for_export,Masters / Common,5877,function closing_profit_loss_rows_for_export(
closing_gst_summary_rows_for_export,GST / Compliance,5888,function closing_gst_summary_rows_for_export(
closing_outstanding_rows_for_export,Masters / Common,5895,function closing_outstanding_rows_for_export(
closing_ledger_balance_rows_for_export,Accounts,5903,function closing_ledger_balance_rows_for_export(
ca_excel_report_catalog,Masters / Common,5909,function ca_excel_report_catalog(
ca_excel_selected_sheets,Masters / Common,5926,function ca_excel_selected_sheets(
ca_export_sheets,Masters / Common,5955,function ca_export_sheets(
ca_assessment_year_code_for_period,Masters / Common,5963,function ca_assessment_year_code_for_period(
ca_financial_year_code_for_period,Masters / Common,5967,function ca_financial_year_code_for_period(
ca_export_setting_bool,Administration,5978,function ca_export_setting_bool(
ca_export_setting_amount,Administration,5983,function ca_export_setting_amount(
