table	column	type	nullable	default	key	extra
eway_bills	id	INTEGER	YES		PRI	
eway_bills	sale_id	INTEGER	YES			
eway_bills	invoice_no	TEXT	YES			
eway_bills	eway_no	TEXT	YES			
eway_bills	eway_date	TEXT	YES			
eway_bills	valid_until	TEXT	YES			
eway_bills	transporter_name	TEXT	YES			
eway_bills	transporter_id	TEXT	YES			
eway_bills	vehicle_no	TEXT	YES			
eway_bills	distance_km	REAL	YES			
eway_bills	status	TEXT	YES			
eway_bills	cancel_reason	TEXT	YES			
eway_bills	cancelled_at	TEXT	YES			
eway_bills	created_at	TEXT	YES			
expense_ledgers	id	INTEGER	YES		PRI	
expense_ledgers	name	TEXT	YES			
expense_ledgers	group_name	TEXT	YES			
expense_ledgers	created_at	TEXT	YES			
expenses	id	INTEGER	YES		PRI	
expenses	expense_no	TEXT	YES			
expenses	expense_date	TEXT	YES			
expenses	ledger_id	INTEGER	YES			
expenses	ledger_name	TEXT	YES			
expenses	amount	REAL	YES			
expenses	mode	TEXT	YES			
